"","Fips","Country","High School Graduation Rate","High School Graduates With College Intentions","Adequate Yearly Progress in Math","Adequate Yearly Progress in Reading","Classroom Language Barriers","Student-Computer Ratios","Student-Teacher Ratios","Teacher Education Levels","School District Property Tax Capacity","School District Property Tax Effort","Hospital Access","Nursing Home and Residential Care Access","Primary Medical Care Access","Dental Care Access","Uninsured Population","Teen Mothers","Low Birthweight Births","Young Children Living With a Single Parent","Young Children With All Parents in Labor Force","Juvenile Delinquency","Child Maltreatment","Poverty Rate","Low-Income Elderly Residents","Food Assistance Program Recipients","Family Investment Program (TANF)","Free and Reduced School Lunch","Income Inequality","Housing Affordability Index","Cost-Burdened Renter Households","Cost-Burdened Owner Households","Cultural and Environmental Organizations","Natural Amenities","Public Spending on Parks and Recreation","Access to Parks","Recreational Trails","Voting Rate","Census Participation Rate","Assets of Public Charities","Library Usage","Religious Adherence","Religious Diversity","Racial and Ethnic Diversity","Recent Immigrants","Political Party Imbalance","Cluster"
"45","19087","Henry",0.882113821138211,0.770428015564202,0.798898071625344,0.680192572214581,0.03035413153457,1.97752161383285,12.8699248120301,0.368421052631579,0.836273478922474,1.21868760513047,3.22660709853562,13.9488706875155,1452.5,44.5,0.119,82.8488372093023,0.0566860465116279,0.311462450592885,0.627,52.9333921482135,14.9977944419938,0.138,6.31199278629396,158.331686103973,11.4152994662977,0.435637998875773,0.4595,2.27304068030338,0.506335797254488,0.203974706413731,0.959708778025978,3.6741214057508,34.0112717471208,0.656490444278977,0.239737518124845,0.623232709209018,0.8,779.255570893315,6.06048601381709,0.463,58.166101041288,0.0990000000000001,0.0219183492126179,0.401083005711742,3
"46","19089","Howard",0.926470588235294,0.8515625,0.797678275290216,0.656716417910448,0.00241837968561064,1.76626637554585,14.9296296296296,0.259259259259259,1.39612717505607,0.595348837910528,2.61342253815597,26.8659836922434,3188.33333333333,NA,0.118,53.6723163841808,0.0282485875706215,0.22663252240717,0.751,21.4827295703454,11.3732097725358,0.123,8.59752821063944,103.314859353759,9.93412109170762,0.440145102781137,0.4176,2.04894706886739,0.43978349120433,0.192055051610885,1.14990591678863,2.38551650692226,128.138886018394,0.534497177503659,0.321444121520071,0.648908053971345,0.83,948.920700470465,8.35571587125416,0.831,NA,0.0259999999999999,0.00542174955687624,0.326903890921184,3
"47","19091","Humboldt",0.923809523809524,0.868686868686869,0.87152034261242,0.802997858672377,0.0318471337579618,2.00218878248974,13.4174311926606,0.321100917431193,1.31730639804711,0.589396307525601,2.1395822720326,15.2827305145186,3229.66666666667,NA,0.109,92.3076923076923,0.0430769230769231,0.302158273381295,0.695,13.8454667262171,15.631978561858,0.097,3.68101607283354,108.335902970501,7.81169698838524,0.392993630573248,0.3968,1.75559022360894,0.331073446327684,0.116046293400063,1.0867719476991,2.50266240681576,84.2105263157895,0.618237391747326,3.73063626990902,0.692790387182911,0.76,694.926647622934,5.98536692705468,0.782,NA,0.054,0.00811359026369168,0.390625,3
"48","19093","Ida",0.992063492063492,0.828358208955224,0.833333333333333,0.824561403508772,0.010126582278481,1.91061946902655,13.6425,0.175,1.28752194564213,0.667704904689021,3.52659049231203,24.6861334461842,1158.16666666667,NA,0.106,68.4410646387833,0.0684410646387833,0.236059479553903,0.754,53.2229450029568,14.1927853341218,0.12,3.04756804761793,103.263927968486,4.78334271243669,0.333333333333333,0.4114,1.69406621430848,0.173566878980892,0.108164983164983,0.705318098462407,4.53674121405751,96.100278551532,0.37805050077585,0.857989912926506,0.680819641868193,0.78,2827.7616426757,9.07857243616871,0.842,NA,0.0259999999999999,0.000140075640846057,0.429192178550267,3
"49","19095","Iowa",0.953846153846154,0.893939393939394,0.854189336235038,0.73993471164309,0.0206301575393848,2.31580882352941,12.8647668393782,0.176165803108808,0.856230527108173,1.12880715721409,1.52858453072455,14.1241210638948,1616.2,NA,0.083,49.469964664311,0.0530035335689046,0.17516218721038,0.726,15.5919661733615,6.34249471458774,0.073,2.51361541684122,78.8807214775465,5.2504787201186,0.290697674418605,0.4187,2.32618832208226,0.396771452846219,0.204549763033175,1.120961989198,2.72630457933972,100.743494423792,0.165209416080709,0.176148343268725,0.717533252720677,0.8,307.420128676471,4.99577823306637,0.58,NA,0.0329999999999999,0.00116264839064986,0.329918571053323,3
"50","19097","Jackson",0.927966101694915,0.720833333333333,0.788359788359788,0.671075837742504,0.00602006688963211,1.45536779324056,13.446511627907,0.330232558139535,1.15990916018689,0.777775184886093,1.25957275292221,11.3865376864168,1821.90909090909,40.1,0.113,73.4094616639478,0.0636215334420881,0.320450885668277,0.751,30.7349665924276,11.5812917594655,0.112,7.19616204690832,137.428977272727,14.5596590909091,0.396655518394649,0.4123,2.39554193863505,0.370877411325451,0.215225127649698,0.82292086524251,5.91054313099042,45.1946771808773,0.561970979443773,6.97568200231212,0.678623045591906,0.83,941.162229743382,4.63411286222674,0.598,51.3246577341582,0.0309999999999999,0.00135787567893784,0.4151973131822,3
"51","19099","Jasper",0.929705215419501,0.752886836027714,0.764255319148936,0.719693747341557,0.00288919102651258,2.31584766584767,13.5085158150852,0.338199513381995,0.829683663701114,1.22630712020832,1.84571955919874,10.2057434449813,1539.95833333333,38.3,0.097,84.3570843570844,0.0728910728910729,0.262376237623762,0.723,31.8226844972759,22.5359088657751,0.108,4.37022007179647,133.435331402656,14.0156275613354,0.378823929299796,0.3986,2.33219451320554,0.490698985343856,0.225498300725636,0.850478620415106,3.4185303514377,42.1288994626961,0.514982899951143,0.706816087386526,0.687302811470238,0.8,1005.14105124908,3.78659184396197,0.438,63.2031884296705,0.042,0.0029537694433906,0.375292740046838,3
"52","19101","Jefferson",0.809160305343511,0.652173913043478,0.787923416789396,0.749631811487482,0.0269163253364541,1.71857429718875,14.1216666666667,0.391666666666667,1.29344880314676,0.755036118722151,1.4842961467672,7.4808525797067,1749.88888888889,58.2,0.146,87.4704491725768,0.0307328605200946,0.274056029232643,0.768,33.6247478143914,15.803631472764,0.174,10.2220655622136,156.400071144839,13.5175194166123,0.443534230544178,0.4595,1.91277415034321,0.511486486486487,0.225139988414752,1.58324922321835,3.24813631522897,55.4405769833804,0.666745829127828,1.17591636256688,0.61786511192687,0.77,13313.1520666072,8.89811884144521,0.373,68.526863034076,0.137,0.0641708031816279,0.341774544080129,1
"53","19103","Johnson",0.896551724137931,0.857425742574257,0.778089013383131,0.724019912881145,0.0302884325886674,3.8759012345679,15.6447138700291,0.445198836081474,1.14931816095424,0.827364225932275,10.3910392567351,5.0885530477835,272.067761806982,NA,0.099,33.4224598930481,0.0639801375095493,0.203487088942838,0.689,33.2573521168865,12.7424236762453,0.175,7.90326404805185,84.6482830461351,10.2775149100993,0.274342144878666,0.4663,3.35549224438113,0.55886575735822,0.212396481992682,0.692735950449005,4.00425985090522,122.435148003185,0.742493238184013,1.28000791367352,0.695525575961152,0.81,15592.2608502834,11.3537445884111,0.354,NA,0.169,0.0475383054994232,0.441190431509344,1
"54","19105","Jones",0.881578947368421,0.718614718614719,0.789282470481381,0.741144414168937,0.005530253741054,1.66052338530067,13.7493212669683,0.149321266968326,1.05376861925799,0.889240880732522,1.21135768969861,13.8579319701521,2273.11111111111,NA,0.101,58.3468395461912,0.0567260940032415,0.249817916970138,0.766,31.9655406937202,10.4284742688733,0.104,3.77358490566038,92.7370512137216,7.55850574155725,0.355562784645413,0.3772,2.20908463888068,0.357585139318885,0.192267029149675,0.952934715896243,3.14164004259851,74.85979029505,0.516571373195077,0.111829857377362,0.646536849889081,0.77,3220.67866847826,4.22716417910448,0.48,NA,0.045,0.00241557563167303,0.282542347016634,3
