FIPS,geoid,TotalResidentialAddresses,VacantResidentialAddresses,AverageDaysAddressesVacant,vac_36_res
19001,19001960100,1682,0,0,0
19053,19053960100,1334,0,0,0
19065,19065080300,1174,0,0,0
19013,19013002400,1839,36,1021.92,9
19013,19013000900,1322,63,2052.37,38
19067,19067480100,1094,0,0,0
19021,19021960300,934,0,0,0
19169,19169001301,5476,37,677.32,7
19169,19169000400,1272,43,311.33,2
19169,19169001000,3017,163,1380.67,80
19027,19027960100,1609,1,6,0
19153,19153004701,1500,53,615.49,10
19187,19187010200,761,0,0,0
19153,19153011201,2362,53,1128.02,16
19187,19187000600,2275,122,1342.4,50
19187,19187000500,927,79,1620.81,41
19193,19193003500,2065,0,0,0
19167,19167070500,1314,0,0,0
19063,19063070400,1552,137,1497.16,67
19193,19193002102,2781,19,1590.53,8
19119,19119950200,1583,57,1374.18,21
19155,19155030300,1423,32,1336.56,18
19147,19147960400,865,0,0,0
19035,19035080300,851,0,0,0
19007,19007950100,1524,67,3319.76,56
19057,19057001200,1310,0,0,0
19123,19123950500,1587,29,1367.34,9
19163,19163013703,1118,5,501.6,1
19007,19007950500,1134,0,0,0
19163,19163010300,1147,0,0,0
19163,19163010900,3193,152,2263.3,76
19113,19113000500,2869,55,1052.05,29
19113,19113000901,2570,107,1348.15,38
19113,19113001400,1680,53,1331.91,17
19171,19171290400,1312,84,2644.32,50
19113,19113001101,1870,85,500,12
19103,19103001700,1739,30,1507.6,7
19183,19183960100,3133,0,0,0
19179,19179960400,1830,150,1266.85,61
19165,19165960300,1587,39,1361.67,14
19191,19191950300,1787,40,2476.9,29
19145,19145490500,1183,95,1527.99,44
19127,19127950600,2010,197,1548.1,85
19091,19091970100,1086,0,0,0
19013,19013000700,648,73,2316.15,46
19193,19193001400,1506,53,1715.45,23
19111,19111490600,1653,0,0,0
19163,19163013000,2307,117,757.76,16
19163,19163011100,1478,36,1102.78,12
19169,19169010400,1489,104,1380.37,39
19181,19181021200,1706,0,0,0
19049,19049050500,1087,0,0,0
19153,19153011021,1989,7,526.57,1
19169,19169010500,852,0,0,0
19099,19099040800,2034,0,0,0
19049,19049050901,2173,0,0,0
19153,19153000902,1591,33,1314.33,16
19049,19049050600,1595,0,0,0
19021,19021960400,2493,57,2532.14,32
19017,19017004200,2152,72,1071.72,21
19037,19037070200,1298,1,14,0
19013,19013000100,2663,101,1663.09,59
19083,19083480600,1456,124,1966.31,78
19017,19017004700,998,53,1940.91,23
19013,19013002901,566,12,1845.58,7
19153,19153010208,2332,18,918.72,6
19169,19169000200,1693,30,1504,11
19027,19027960500,991,53,1405.51,22
19009,19009070200,1156,81,1647.73,39
19153,19153010406,2407,37,447.05,9
19187,19187000400,1181,96,1842.5,54
19189,19189680300,2364,93,1715.22,36
19089,19089960300,1338,0,0,0
19131,19131560200,1728,0,0,0
19155,19155031601,2178,3,1070,1
19155,19155031000,1038,79,2169.27,37
19073,19073080500,1001,0,0,0
19107,19107080100,1056,0,0,0
19087,19087970500,1658,54,2057.74,32
19163,19163011700,1480,46,1474,23
19163,19163011600,1555,94,1736.47,52
19101,19101090300,2879,206,1213.48,84
19123,19123950600,1533,121,1861.24,88
19113,19113001800,1644,144,1547.81,50
19113,19113010400,1420,0,0,0
19011,19011960300,2494,91,1467.86,42
19183,19183960400,1892,84,1012.55,25
19113,19113003002,4571,106,1357.99,41
19089,19089960100,2043,120,1472.14,54
19145,19145490400,1120,96,1695.49,42
19061,19061000500,1859,164,1775.91,82
19155,19155021501,1055,0,0,0
19061,19061001204,1311,0,0,0
19061,19061010103,1665,33,1067.24,9
19155,19155021603,1106,0,0,0
19085,19085290500,1153,0,0,0
19191,19191950400,2149,0,0,0
19011,19011960600,1077,0,0,0
19089,19089960200,1395,0,0,0
19013,19013002301,962,37,1216.57,11
19003,19003950200,1204,104,2054.25,72
19019,19019950300,1488,0,0,0
19153,19153010803,2166,40,807.63,5
19155,19155030402,1489,41,1461.39,19
19185,19185070300,1091,47,2534.09,32
19045,19045000300,2203,271,1649.91,147
19061,19061000802,1596,45,2190.56,29
19097,19097950500,1949,82,2016.43,54
19113,19113002600,1564,129,644.43,26
19013,19013001900,1046,84,2783.94,55
19135,19135070300,1142,0,0,0
19039,19039960300,1161,0,0,0
19079,19079960500,1007,0,0,0
19125,19125030500,1018,96,3161.95,75
19153,19153011500,3576,0,0,0
19121,19121060200,2519,70,2090.36,50
19153,19153003002,1518,37,1511.49,18
19197,19197680400,706,0,0,0
19075,19075960100,2100,77,1263.66,28
19187,19187010100,1044,0,0,0
19109,19109950200,1379,0,0,0
19181,19181020800,1272,13,889.46,4
19153,19153010703,2559,35,235.03,1
19153,19153010804,2333,7,1657.43,6
19197,19197680300,1621,118,1981.47,75
19187,19187010300,1617,0,0,0
19153,19153004001,2077,41,1608.37,24
19193,19193002101,1822,11,1950.91,6
19027,19027960600,1219,47,1237.43,15
19193,19193001800,3152,147,3003.16,126
19111,19111490900,1213,281,1703.58,158
19163,19163013500,1549,37,900.38,10
19057,19057000900,1658,43,1929.98,27
19163,19163010201,2887,22,885.23,8
19111,19111490200,2274,356,1827.51,194
19115,19115450100,1405,1,1683,1
19045,19045000800,2617,75,1820.04,36
19087,19087970300,1961,114,1789.24,69
19163,19163011500,1192,139,1712.4,79
19103,19103010301,8572,0,0,0
19103,19103000100,3561,58,1225.76,29
19103,19103002300,1228,58,674.6,7
19113,19113000300,3012,148,922.43,36
19171,19171290500,1568,75,2259.48,46
19113,19113001700,2701,257,1477.99,114
19103,19103000500,3757,74,942.57,32
19113,19113010500,1826,34,3348.24,26
19191,19191950200,5000,76,2370.25,49
19145,19145490600,1121,0,0,0
19043,19043070300,1606,0,0,0
19191,19191950500,1679,0,0,0
19153,19153011026,2789,0,0,0
19181,19181020400,2023,0,0,0
19153,19153000102,1501,17,482.24,3
19093,19093090100,1346,0,0,0
19113,19113010100,1310,0,0,0
19163,19163011800,1202,53,1922.47,37
19127,19127950700,1715,114,1427.65,45
19071,19071970200,1431,0,0,0
19099,19099040400,2459,59,1465.97,24
19073,19073080100,996,0,0,0
19099,19099040900,1332,0,0,0
19053,19053960300,1106,129,1295.86,68
19153,19153005200,1700,178,1162.71,46
19079,19079960400,2539,191,559.17,33
19023,19023070200,975,0,0,0
19013,19013001503,1750,29,1641.21,16
19067,19067480300,1303,0,0,0
19055,19055950400,2690,0,0,0
19109,19109950600,1041,0,0,0
19029,19029190500,1538,117,1430.74,40
19033,19033950402,3008,213,1667.19,96
19153,19153000101,1874,96,664.11,13
19153,19153004502,1423,53,1464.6,23
19153,19153000600,1750,106,1186.96,41
19067,19067480200,1269,0,0,0
19195,19195690100,1232,78,1957.4,34
19149,19149970600,2458,0,0,0
19193,19193003600,3483,73,3467.79,51
19119,19119950300,2366,0,0,0
19155,19155030602,1253,58,2611.71,47
19141,19141490400,1540,0,0,0
19149,19149970500,1439,0,0,0
19155,19155030401,2005,34,1369.53,16
19177,19177950100,2213,0,0,0
