"GEOID","TypicalRenterCosts","TypicalOwnerCosts","AgingHousingStock","AffordabilityIndex","HousingPriceDispersion","CostBurdenOwner","CostBurdenRenter","HomeOwnerShipRate","RentalUnitRatio","MultiFamShare"
19041,693,838,28.6,2.97736559386621,2.45964912280702,18.9,49.1,67.5,0.353881587860723,14.1
19043,656,713,36.8,3.09384991536581,2.49058971141782,14.1,33.6,73.4,0.287055401295782,9.6
19045,659,848,34.9,2.66725840452679,2.21728081321474,12.4,51.1,74.1,0.294295836114391,12.5
19047,643,689,40.1,2.44114451285766,2.9281045751634,7.9,42,69.4,0.318252974326863,9
19049,1064,1444,10,4.05494505494505,2.43893129770992,10.1,40.8,72.2,0.305598733855241,32.7
19051,722,872,28.7,2.45527811907787,2.12103407755582,15.3,31.6,84.6,0.167504714016342,5.9
19053,568,758,32.4,1.97537933008875,3.18147448015123,16.5,36.5,64.6,0.380320789636027,9.5
19055,621,838,31.8,3.09068638173148,2.53786191536748,13.1,38.3,82.9,0.173391178597252,5.7
19057,808,794,37.6,2.67350214407206,2.56942496493689,11.5,57.2,69.7,0.321958456973294,11.4
19059,833,886,16.7,4.41576237098592,2.73751058425063,11.7,52.1,77.9,0.224318905531313,15.5
19061,802,991,24.1,3.70997439207636,2.22583333333333,11.1,45.8,73.4,0.29101021860044,16.2
19063,637,697,32.8,2.24461292897047,2.41475409836066,9.9,36.4,78.8,0.234650758140691,7.4
19065,645,703,38.3,2.57454545454545,2.75981161695447,15.5,46,74.2,0.299939135727328,7
19067,537,748,38.5,2.47979553774953,2.27900912646675,4.8,44.1,73.2,0.27975068850558,9.4
19069,647,559,37.3,1.97558080379854,2.5734375,7.1,36.2,70.5,0.309892729439809,5.8
19071,640,699,37.9,2.5470254702547,2.90804597701149,11.5,28.8,76.7,0.240514905149051,4.6
19073,693,688,40.8,2.25133033155956,2.70636215334421,8,39.9,72.9,0.285608124845182,8.3
19075,698,827,35.6,2.87852259463065,2.36175115207373,11.2,33.8,82,0.194035631293571,4.6
19077,704,788,35.2,2.6927171394577,3.0782967032967,13.3,41.4,81.3,0.221304153640018,8.2
19079,762,785,38.7,2.15102132619052,2.35694444444444,10.4,34.2,74.6,0.290591310029402,10.8
19081,755,674,32.2,2.21670547915111,2.68454258675079,8.1,45.5,79.5,0.21955295592229,5.3
19083,693,677,40.4,2.26876923443949,2.64432989690722,10.9,43.2,74.1,0.279888656924148,7.6
19085,729,794,45.3,2.62761967324278,2.54689564068692,9.6,38.9,73.8,0.272891368559239,6.8
19087,665,802,35.2,2.84677845577283,2.24727272727273,9.1,40.7,72.9,0.30219997365301,8.9
19089,660,738,40.7,2.54339150920717,2.44096728307255,9.8,41.2,77.2,0.250665956313266,2.3
