"","fmr0","fmr1","fmr2","fmr3","fmr4","State","county","Year"
"138",508,606,739,947,1055,19,"77","2011"
"139",431,432,555,699,731,19,"79","2011"
"140",401,441,555,709,744,19,"81","2011"
"141",475,477,571,683,726,19,"83","2011"
"142",527,599,747,997,1026,19,"85","2011"
"143",468,470,562,804,828,19,"87","2011"
"144",393,433,555,719,765,19,"89","2011"
"145",440,441,555,713,746,19,"91","2011"
"146",415,426,555,730,764,19,"93","2011"
"147",430,455,564,738,761,19,"95","2011"
"148",393,434,572,740,800,19,"97","2011"
"149",432,472,620,789,823,19,"99","2011"
"150",464,472,558,703,854,19,"101","2011"
"151",496,592,746,1087,1272,19,"103","2011"
"152",462,463,555,778,802,19,"105","2011"
"153",379,422,555,677,757,19,"107","2011"
"154",401,441,555,709,744,19,"109","2011"
"155",405,471,555,704,724,19,"111","2011"
"156",436,507,668,947,1075,19,"113","2011"
"157",426,477,589,762,806,19,"115","2011"
"158",379,422,555,677,757,19,"117","2011"
"159",390,421,555,679,798,19,"119","2011"
"160",508,606,739,947,1055,19,"121","2011"
"161",410,466,593,710,938,19,"123","2011"
"162",415,509,636,785,808,19,"125","2011"
"163",424,492,614,790,906,19,"127","2011"
"164",527,599,747,997,1026,19,"129","2011"
"165",401,441,555,709,744,19,"131","2011"
"166",415,426,555,730,764,19,"133","2011"
"167",379,422,555,677,757,19,"135","2011"
"168",415,506,636,780,840,19,"137","2011"
"169",423,523,650,800,863,19,"139","2011"
"170",390,421,555,679,798,19,"141","2011"
"171",390,421,555,679,798,19,"143","2011"
"172",359,422,555,662,682,19,"145","2011"
"173",390,421,555,679,798,19,"147","2011"
"174",460,461,555,748,770,19,"149","2011"
"175",440,441,555,713,746,19,"151","2011"
"176",508,606,739,947,1055,19,"153","2011"
"177",527,599,747,997,1026,19,"155","2011"
"178",387,451,594,759,782,19,"157","2011"
"179",379,422,555,677,757,19,"159","2011"
"180",415,426,555,730,764,19,"161","2011"
"181",476,531,669,853,889,19,"163","2011"
"182",415,506,636,780,840,19,"165","2011"
"183",451,457,555,750,772,19,"167","2011"
"184",568,599,740,1059,1253,19,"169","2011"
"185",430,455,564,738,761,19,"171","2011"
"186",379,422,555,677,757,19,"173","2011"
"187",379,422,555,677,757,19,"175","2011"
"188",379,422,555,677,757,19,"177","2011"
"189",396,460,607,724,755,19,"179","2011"
"190",508,606,739,947,1055,19,"181","2011"
"191",367,442,562,717,862,19,"183","2011"
"192",379,422,555,677,757,19,"185","2011"
"193",422,430,558,772,797,19,"187","2011"
"194",401,441,555,709,744,19,"189","2011"
"195",361,422,555,721,977,19,"191","2011"
"196",435,511,671,845,870,19,"193","2011"
"197",401,441,555,709,744,19,"195","2011"
"198",440,441,555,713,746,19,"197","2011"
"199",382,426,560,683,764,19,"1","2012"
"200",366,408,536,654,731,19,"3","2012"
"201",379,417,534,692,736,19,"5","2012"
"202",347,405,534,674,739,19,"7","2012"
"203",399,410,534,702,735,19,"9","2012"
"204",350,413,539,671,899,19,"11","2012"
"205",424,522,624,766,938,19,"13","2012"
"206",399,481,613,798,859,19,"15","2012"
"207",392,483,601,719,972,19,"17","2012"
"208",443,444,534,689,708,19,"19","2012"
"209",427,432,565,678,778,19,"21","2012"
"210",379,417,534,692,736,19,"23","2012"
"211",423,424,534,686,718,19,"25","2012"
"212",347,405,534,637,657,19,"27","2012"
"213",348,425,534,655,705,19,"29","2012"
"214",406,448,591,764,827,19,"31","2012"
"215",421,468,616,765,787,19,"33","2012"
"216",399,410,534,702,735,19,"35","2012"
"217",379,417,534,692,736,19,"37","2012"
"218",356,406,534,639,712,19,"39","2012"
"219",347,405,534,648,812,19,"41","2012"
"220",379,417,534,692,736,19,"43","2012"
"221",361,423,556,709,810,19,"45","2012"
"222",399,422,534,702,735,19,"47","2012"
"223",502,599,731,936,1043,19,"49","2012"
"224",365,406,534,651,728,19,"51","2012"
"225",365,406,534,651,728,19,"53","2012"
"226",367,405,534,690,747,19,"55","2012"
"227",442,483,612,769,867,19,"57","2012"
"228",346,427,534,676,937,19,"59","2012"
"229",417,449,590,793,864,19,"61","2012"
"230",382,412,543,665,780,19,"63","2012"
"231",379,417,534,692,736,19,"65","2012"
"232",375,405,534,668,688,19,"67","2012"
"233",386,425,534,682,716,19,"69","2012"
"234",348,425,534,655,705,19,"71","2012"
"235",399,410,534,702,735,19,"73","2012"
"236",424,522,624,766,938,19,"75","2012"
"237",502,599,731,936,1043,19,"77","2012"
"238",475,476,611,770,805,19,"79","2012"
"239",392,432,543,694,728,19,"81","2012"
"240",451,453,542,648,689,19,"83","2012"
"241",529,602,751,1003,1031,19,"85","2012"
"242",452,454,543,776,800,19,"87","2012"
"243",379,417,534,692,736,19,"89","2012"
"244",423,424,534,686,718,19,"91","2012"
"245",399,410,534,702,735,19,"93","2012"
"246",407,430,534,698,721,19,"95","2012"
"247",367,405,534,690,747,19,"97","2012"
"248",421,460,604,768,802,19,"99","2012"
"249",497,505,598,753,916,19,"101","2012"
"250",491,585,738,1075,1258,19,"103","2012"
"251",452,453,543,761,785,19,"105","2012"
"252",365,406,534,651,728,19,"107","2012"
"253",386,425,534,682,716,19,"109","2012"
"254",403,469,553,701,721,19,"111","2012"
"255",418,487,641,908,1032,19,"113","2012"
"256",431,482,596,771,816,19,"115","2012"
"257",365,406,534,651,728,19,"117","2012"
"258",375,405,534,654,767,19,"119","2012"
"259",502,599,731,936,1043,19,"121","2012"
"260",374,424,540,647,854,19,"123","2012"
"261",419,514,642,793,816,19,"125","2012"
"262",414,480,599,770,884,19,"127","2012"
"263",529,602,751,1003,1031,19,"129","2012"
"264",386,425,534,682,716,19,"131","2012"
"265",399,410,534,702,735,19,"133","2012"
"266",381,425,558,681,761,19,"135","2012"
"267",386,471,592,726,781,19,"137","2012"
"268",406,502,624,768,828,19,"139","2012"
"269",375,405,534,654,767,19,"141","2012"
